Time (ms),Bicep,Shoulder,Tricep
813501,455,459,462
813502,457,461,460
813503,455,460,462
813504,459,460,461
813505,461,460,461
813506,461,461,460
813507,462,459,462
813508,461,460,461
813509,456,459,462
813510,459,460,462
813511,454,460,461
813512,457,460,462
813513,454,460,463
813514,453,461,462
813515,453,461,462
813516,451,462,462
813517,452,459,461
813518,453,459,462
813519,452,460,462
813520,455,460,462
813521,456,461,462
813522,458,461,460
813523,459,461,460
813524,460,462,460
813525,462,460,463
813526,462,459,461
813527,462,458,462
813528,463,458,462
813529,460,460,462
813530,461,461,460
813531,457,460,462
813532,456,457,461
813533,454,460,461
813534,452,462,462
813535,450,459,459
813536,448,461,463
813537,449,460,460
813538,451,458,462
813539,452,461,462
813540,455,460,461
813541,456,460,461
813542,456,460,462
813543,458,461,462
813544,460,460,462
813545,462,459,462
813546,462,460,461
813547,462,461,459
813548,462,461,461
813549,460,459,462
813550,458,460,461
813551,456,458,461
813552,456,459,462
813553,451,459,461
813554,449,459,462
813555,450,460,461
813556,451,461,463
813557,450,459,460
813558,448,460,463
813559,453,459,460
813560,451,462,460
813561,456,459,462
813562,457,460,462
813563,457,461,462
813564,460,459,462
813565,460,462,462
813566,463,462,462
813567,463,461,462
813568,460,460,462
813569,463,459,461
813570,461,460,460
813571,459,461,460
813572,453,461,463
813573,455,462,460
813574,453,459,462
813575,452,461,460
813576,450,460,462
813577,447,459,461
813578,449,461,461
813579,451,460,460
813580,454,460,463
813581,453,459,461
813582,456,460,460
813583,459,460,462
813584,460,460,462
813585,460,459,461
813586,460,461,463
813587,460,461,460
813588,460,460,463
813589,460,460,460
813590,458,461,462
813591,458,460,462
813592,455,460,462
813593,451,460,461
813594,454,459,461
813595,449,461,462
813596,450,460,460
813597,448,461,463
813598,451,459,462
813599,453,461,461
813600,453,460,461
813601,455,460,459
813602,457,460,461
813603,459,460,462
813604,461,461,460
813605,462,461,460
813606,462,460,459
813607,463,460,462
813608,465,460,461
813609,464,461,461
813610,461,462,461
813611,459,461,460
813612,456,460,458
813613,455,461,459
813614,452,461,459
813615,450,461,459
813616,450,460,462
813617,452,461,460
813618,451,460,459
813619,452,461,458
813620,454,462,459
813621,455,461,461
813622,457,460,461
813623,459,458,461
813624,462,459,462
813625,460,460,461
813626,460,459,457
813627,463,460,462
813628,460,460,462
