Time (ms),Bicep,Shoulder,Tricep
,973,460,464
851015,966,459,462
851016,971,461,462
851017,863,462,464
851018,880,461,461
851019,876,460,462
851020,872,462,462
851021,868,461,462
851022,867,462,463
851023,863,462,461
851024,867,460,461
851025,869,460,463
851026,870,459,462
851027,870,461,461
851028,875,459,462
851029,877,461,462
851030,878,459,462
851031,877,462,461
851032,878,462,463
851033,877,461,462
851034,876,462,461
851035,869,461,461
851036,864,462,461
851037,648,461,463
851038,743,460,462
851039,742,459,461
851040,739,461,462
851041,742,460,461
851042,743,462,461
851043,747,462,462
851044,749,462,461
851045,751,461,461
851046,757,459,462
851047,760,460,463
851048,761,461,462
851049,763,461,459
851050,762,462,461
851051,762,462,463
851052,758,459,463
851053,757,461,460
851054,756,459,462
851055,753,463,464
851056,732,461,462
851057,529,461,462
851058,615,461,463
851059,615,462,460
851060,618,461,461
851061,617,461,462
851062,623,462,463
851063,626,463,462
851064,628,460,463
851065,635,462,461
851066,643,462,461
851067,647,462,463
851068,656,462,460
851069,657,460,461
851070,666,463,461
851071,669,459,463
851072,669,462,463
851073,669,462,463
851074,666,462,462
851075,667,460,462
851076,593,462,462
851077,406,462,462
851078,513,461,462
851079,520,463,463
851080,525,463,462
851081,528,461,461
851082,535,461,463
851083,539,461,463
851084,543,462,462
851085,549,462,463
851086,556,461,463
851087,562,461,461
851088,569,462,461
851089,577,460,462
851090,581,462,461
851091,585,462,461
851092,589,459,461
851093,587,461,463
851094,589,463,461
851095,589,462,459
851096,534,459,463
851097,325,462,463
851098,408,461,460
851099,416,462,463
851100,424,459,462
851101,433,461,463
851102,444,460,463
851103,451,462,462
851104,459,462,461
851105,464,461,463
851106,466,463,463
851107,475,459,462
851108,479,460,463
851109,485,461,463
851110,489,461,460
851111,495,461,463
851112,499,461,464
851113,500,462,461
851114,506,460,462
851115,509,462,463
851116,414,461,461
851117,196,458,462
851118,305,462,463
851119,314,461,464
851120,332,461,463
851121,338,461,461
851122,347,462,462
851123,353,461,463
851124,364,460,463
851125,368,460,462
851126,371,460,461
851127,381,461,462
851128,387,463,459
851129,400,459,463
851130,412,461,462
851131,426,463,462
851132,436,461,461
851133,444,459,463
851134,449,462,463
851135,453,461,459
851136,266,460,462
851137,27,460,463
851138,170,460,462
851139,180,461,461
851140,191,461,462
851141,203,462,461
851142,212,461,461
851143,227,460,462
851144,241,462,461
851145,258,462,462
851146,273,460,461
851147,288,461,463
851148,307,462,461
851149,319,461,459
851150,330,460,461
851151,338,461,461
851152,344,462,461
851153,353,462,461
851154,358,461,462
851155,366,457,460
851156,129,460,463
851157,6,461,461
851158,86,460,462
851159,106,462,463
851160,121,462,462
851161,135,462,460
851162,150,461,462
851163,165,461,460
851164,180,461,461
851165,194,461,460
851166,213,460,462
851167,230,462,459
851168,244,459,462
851169,262,462,461
851170,275,459,462
851171,290,461,461
851172,301,461,462
851173,312,459,462
851174,325,459,461
851175,335,459,460
851176,30,461,462
851177,3,462,463
851178,58,460,461
851179,82,461,461
851180,98,462,459
851181,115,461,461
851182,133,462,461
851183,149,460,458
851184,168,459,462
851185,187,460,462
851186,209,460,464
851187,226,461,460
851188,249,461,460
851189,268,459,462
851190,287,463,462
851191,303,462,459
851192,317,459,461
851193,335,460,463
851194,349,459,461
851195,360,460,462
851196,10,462,462
851197,3,461,462
851198,61,462,463
851199,87,460,462
851200,104,461,462
851201,125,460,461
851202,147,461,462
851203,173,459,462
851204,191,460,462
851205,218,460,461
851206,244,462,463
851207,265,461,461
851208,288,459,462
851209,309,461,463
851210,325,462,461
851211,331,460,463
851212,357,460,461
851213,368,461,459
851214,383,460,462
851215,396,461,461
851216,11,459,461
851217,1,462,462
851218,71,461,463
851219,100,461,461
851220,126,462,462
851221,148,460,462
851222,171,460,461
851223,195,459,462
851224,219,462,463
851225,244,461,463
851226,268,461,460
851227,292,461,464
851228,315,461,460
851229,336,461,463
851230,356,461,461
851231,372,461,462
851232,393,460,461
851233,407,462,461
851234,426,461,463
851235,442,460,462
851236,14,461,461
851237,4,460,462
851238,78,462,463
851239,119,461,461
851240,146,462,464
851241,172,462,461
851242,193,462,462
851243,223,462,462
851244,253,461,463
851245,281,462,460
851246,307,461,462
851247,333,462,463
851248,353,461,462
851249,374,461,463
851250,391,461,463
851251,413,461,462
851252,431,461,462
851253,450,460,462
851254,468,462,460
851255,487,460,463
851256,69,460,463
851257,4,461,462
851258,110,462,461
851259,136,460,460
851260,162,459,463
851261,186,461,462
851262,214,460,462
851263,242,463,462
851264,266,460,463
851265,292,462,460
851266,321,461,464
851267,347,462,462
851268,372,462,463
851269,399,460,460
851270,424,461,462
851271,449,458,462
851272,472,461,461
851273,493,460,461
851274,506,462,463
851275,525,461,462
851276,124,461,462
851277,6,461,463
851278,135,461,459
851279,167,462,462
851280,199,463,462
851281,224,461,462
851282,258,461,462
851283,282,461,462
851284,313,461,463
851285,335,460,462
851286,366,458,462
851287,395,462,463
851288,422,460,461
851289,443,460,463
851290,464,462,462
851291,485,461,462
851292,505,460,461
851293,526,460,460
851294,546,461,461
851295,563,459,462
851296,197,460,462
851297,94,459,462
851298,205,460,462
851299,237,462,463
851300,269,461,462
851301,299,460,463
851302,327,461,460
851303,355,462,462
851304,384,461,460
851305,408,460,462
851306,435,460,463
851307,460,460,459
851308,488,460,463
851309,512,461,463
851310,535,458,461
851311,555,458,461
851312,575,462,459
851313,595,459,463
851314,614,460,463
851315,632,461,462
851316,336,461,461
851317,264,458,463
851318,363,462,460
851319,387,462,462
851320,413,462,462
851321,440,461,459
851322,467,459,461
851323,493,463,463
851324,516,462,463
851325,538,459,462
851326,564,461,461
851327,594,461,462
851328,620,462,462
851329,645,461,462
851330,663,463,461
851331,682,462,462
851332,696,461,460
851333,715,461,463
851334,726,462,459
851335,741,460,462
851336,390,461,462
851337,304,461,462
851338,430,462,462
851339,457,461,463
851340,478,461,461
851341,501,461,463
851342,525,461,460
851343,556,460,462
851344,576,460,462
851345,601,460,461
851346,619,461,464
851347,641,459,463
851348,661,462,460
851349,685,459,462
851350,706,461,461
851351,728,461,463
851352,746,460,463
851353,759,462,461
