Time (ms),Bicep,Shoulder,Tricep
410272,464,457,460
410273,464,461,461
410274,462,461,462
410275,460,461,460
410276,457,460,461
410277,456,459,461
410278,454,460,462
410279,454,460,460
410280,452,461,461
410281,454,459,462
410282,455,457,462
410283,456,459,462
410284,457,461,462
410285,461,460,462
410286,462,462,461
410287,463,460,461
410288,465,459,461
410289,468,461,462
410290,467,462,462
410291,466,461,462
410292,465,460,460
410293,465,461,462
410294,463,460,460
410295,460,460,461
410296,459,460,462
410297,457,460,461
410298,455,462,462
410299,454,460,461
410300,454,460,461
410301,455,461,461
410302,455,460,460
410303,455,460,461
410304,459,461,462
410305,460,461,461
410306,460,461,462
410307,465,460,462
410308,466,461,462
410309,467,461,461
410310,468,459,462
410311,468,459,462
410312,465,459,462
410313,464,460,461
410314,463,460,461
410315,459,460,460
410316,456,459,458
410317,452,460,462
410318,454,459,462
410319,454,461,463
410320,453,460,460
410321,452,459,462
410322,454,459,461
410323,454,458,460
410324,458,460,462
410325,458,461,462
410326,462,460,461
410327,464,460,461
410328,465,459,461
410329,467,460,462
410330,466,460,461
410331,466,460,462
410332,464,459,459
410333,466,460,461
410334,466,459,462
410335,464,460,462
410336,462,460,460
410337,461,460,462
410338,459,460,461
410339,460,458,461
410340,457,458,461
410341,458,460,461
410342,458,460,463
410343,460,459,462
410344,460,456,460
410345,464,460,462
410346,462,458,462
410347,464,460,460
410348,465,461,461
410349,466,461,462
410350,466,460,461
410351,468,459,462
410352,465,460,462
410353,462,459,462
410354,458,462,462
410355,459,461,461
410356,456,462,463
410357,452,460,462
410358,453,460,462
410359,452,459,462
410360,450,460,462
410361,451,459,462
410362,451,460,461
410363,455,457,460
410364,455,459,462
410365,459,458,460
410366,462,458,462
410367,463,460,460
410368,465,459,462
410369,468,461,463
410370,468,459,462
410371,468,460,459
410372,467,458,461
410373,467,460,462
410374,467,461,462
410375,463,460,462
410376,461,461,461
410377,461,460,462
410378,457,462,461
410379,457,461,461
410380,455,461,458
